CO(GT),PT08_S2(NMHC),C6H6(GT),PT08_S1(CO),PT08_S5(O3),NOx(GT),PT08_S3(NOx),NO2(GT),datetime,hour,day,month,day_of_week,is_weekend,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,time_idx,group
0.9,687.75,3.5941382910062885,998.75,593.5,48.0,1228.5,63.0,2004-03-19 02:00:00,2,19,3,4,0,0.49999999999999994,0.8660254037844387,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17,18,default
0.7,621.5,2.5294405041814083,960.75,430.25,179.8,1381.5,109.0,2004-03-19 03:00:00,3,19,3,4,0,0.7071067811865476,0.7071067811865476,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17,19,default
0.7,606.75,2.314320289312677,969.25,438.0,56.0,1372.5,61.0,2004-03-19 06:00:00,6,19,3,4,0,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17,20,default
1.5,845.0,6.731036454520945,1181.5,704.25,115.0,1054.0,99.0,2004-03-19 07:00:00,7,19,3,4,0,0.9659258262890683,-0.25881904510252063,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17,21,default
4.0,1275.0,19.238006003954073,1427.0,1398.0,253.0,700.5,149.0,2004-03-19 10:00:00,10,19,3,4,0,0.49999999999999994,-0.8660254037844387,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17,22,default
3.3,1190.75,16.363388395708625,1389.5,1267.5,218.0,758.75,135.0,2004-03-19 11:00:00,11,19,3,4,0,0.258819045102521,-0.9659258262890682,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17,23,default
2.8,1117.25,14.019301019815009,1283.0,1188.25,192.0,813.0,127.0,2004-03-19 12:00:00,12,19,3,4,0,1.2246467991473532e-16,-1.0,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17,24,default
3.0,1156.75,15.259858728740529,1303.5,1170.5,176.0,793.0,122.0,2004-03-19 13:00:00,13,19,3,4,0,-0.2588190451025208,-0.9659258262890683,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17,25,default
3.3,1201.75,16.72742509453297,1364.0,1250.25,198.0,770.75,135.0,2004-03-19 14:00:00,14,19,3,4,0,-0.4999999999999997,-0.8660254037844388,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17,26,default
3.5,1268.25,19.000414929848503,1409.75,1344.0,212.0,724.25,139.0,2004-03-19 15:00:00,15,19,3,4,0,-0.7071067811865471,-0.7071067811865479,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17,27,default
4.0,1280.0,19.414810317786973,1476.0,1378.0,249.0,708.0,147.0,2004-03-19 16:00:00,16,19,3,4,0,-0.8660254037844385,-0.5000000000000004,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17,28,default
4.6,1320.25,20.863108493812085,1522.0,1435.25,270.0,689.75,158.0,2004-03-19 17:00:00,17,19,3,4,0,-0.9659258262890683,-0.25881904510252063,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17,29,default
4.1,1301.0,20.16490280922038,1441.75,1372.25,231.0,704.0,146.0,2004-03-19 18:00:00,18,19,3,4,0,-1.0,-1.8369701987210297e-16,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17,30,default
4.5,1344.25,21.74774817937002,1469.0,1471.0,251.0,677.25,144.0,2004-03-19 19:00:00,19,19,3,4,0,-0.9659258262890684,0.2588190451025203,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17,31,default
3.9,1292.0,19.841950486357188,1467.25,1438.75,210.0,697.5,138.0,2004-03-19 20:00:00,20,19,3,4,0,-0.8660254037844386,0.5000000000000001,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17,32,default
4.0,1202.25,16.744053307157127,1420.5,1428.5,249.0,747.5,143.0,2004-03-19 21:00:00,21,19,3,4,0,-0.7071067811865477,0.7071067811865474,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17,33,default
2.2,945.0,9.145099271304806,1175.0,1080.5,143.0,903.75,116.0,2004-03-19 22:00:00,22,19,3,4,0,-0.5000000000000004,0.8660254037844384,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17,34,default
2.1,911.5,8.301413416761816,1215.0,993.0,127.0,947.75,109.0,2004-03-19 23:00:00,23,19,3,4,0,-0.25881904510252157,0.9659258262890681,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17,35,default
1.7,802.0,5.79119163455987,1126.75,837.0,104.0,1064.0,92.0,2004-03-20 00:00:00,0,20,3,5,1,0.0,1.0,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17,36,default
1.6,773.0,5.191654203204007,1090.25,761.0,86.0,1105.25,83.0,2004-03-20 01:00:00,1,20,3,5,1,0.25881904510252074,0.9659258262890683,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17,37,default
1.3,717.5,4.1231866000360915,1017.0,650.25,74.0,1181.75,81.0,2004-03-20 02:00:00,2,20,3,5,1,0.49999999999999994,0.8660254037844387,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17,38,default
1.3,677.0,3.410629499321059,997.25,590.75,179.8,1252.25,109.0,2004-03-20 03:00:00,3,20,3,5,1,0.7071067811865476,0.7071067811865476,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17,39,default
1.8,646.25,2.908548009422834,944.75,505.0,44.0,1308.0,55.0,2004-03-20 04:00:00,4,20,3,5,1,0.8660254037844386,0.5000000000000001,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17,40,default
0.8,661.25,3.149209600499938,955.75,518.0,42.0,1259.75,53.0,2004-03-20 05:00:00,5,20,3,5,1,0.9659258262890683,0.25881904510252074,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17,41,default
0.8,621.5,2.5294405041814083,966.25,570.75,63.0,1316.75,67.0,2004-03-20 06:00:00,6,20,3,5,1,1.0,6.123233995736766e-17,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17,42,default
1.1,727.5,4.307931854750126,1064.0,842.0,115.0,1160.5,91.0,2004-03-20 07:00:00,7,20,3,5,1,0.9659258262890683,-0.25881904510252063,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17,43,default
2.1,934.75,8.883264240647636,1299.75,1144.75,170.0,902.25,113.0,2004-03-20 08:00:00,8,20,3,5,1,0.8660254037844387,-0.4999999999999998,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17,44,default
2.4,997.75,10.543474253928526,1348.0,1218.25,147.0,833.75,102.0,2004-03-20 09:00:00,9,20,3,5,1,0.7071067811865476,-0.7071067811865475,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17,45,default
2.6,1067.5,12.521106305109699,1424.5,1341.0,166.0,776.25,107.0,2004-03-20 10:00:00,10,20,3,5,1,0.49999999999999994,-0.8660254037844387,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17,46,default
2.8,1061.0,12.330711570529866,1473.75,1405.5,195.0,767.5,113.0,2004-03-20 11:00:00,11,20,3,5,1,0.258819045102521,-0.9659258262890682,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17,47,default
2.6,1038.75,11.688419353879642,1489.75,1421.5,182.0,782.25,108.0,2004-03-20 12:00:00,12,20,3,5,1,1.2246467991473532e-16,-1.0,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17,48,default
2.6,1040.0,11.724114404886208,1494.75,1373.0,168.0,808.75,105.0,2004-03-20 13:00:00,13,20,3,5,1,-0.2588190451025208,-0.9659258262890683,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17,49,default
2.1,952.5,9.338736657793214,1375.5,1153.25,125.0,899.5,93.0,2004-03-20 14:00:00,14,20,3,5,1,-0.4999999999999997,-0.8660254037844388,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17,50,default
1.7,884.0,7.6350173007290705,1304.75,927.25,95.0,980.0,87.0,2004-03-20 15:00:00,15,20,3,5,1,-0.7071067811865471,-0.7071067811865479,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17,51,default
1.6,844.25,6.714129541810949,1282.5,766.25,79.0,1035.5,76.0,2004-03-20 16:00:00,16,20,3,5,1,-0.8660254037844385,-0.5000000000000004,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17,52,default
2.1,967.25,9.724590097455225,1392.25,941.25,119.0,929.75,94.0,2004-03-20 17:00:00,17,20,3,5,1,-0.9659258262890683,-0.25881904510252063,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17,53,default
2.3,1063.0,12.389162076428056,1452.25,1146.0,142.0,855.5,110.0,2004-03-20 18:00:00,18,20,3,5,1,-1.0,-1.8369701987210297e-16,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17,54,default
3.5,1199.25,16.644389712822854,1633.0,1416.5,215.0,734.0,136.0,2004-03-20 19:00:00,19,20,3,5,1,-0.9659258262890684,0.2588190451025203,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17,55,default
3.9,1191.0,16.37162401440561,1624.5,1442.0,229.0,732.75,139.0,2004-03-20 20:00:00,20,20,3,5,1,-0.8660254037844386,0.5000000000000001,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17,56,default
3.3,1108.0,13.73529005407188,1534.5,1323.25,206.0,785.25,125.0,2004-03-20 21:00:00,21,20,3,5,1,-0.7071067811865477,0.7071067811865474,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17,57,default
2.3,973.25,9.883449559735752,1322.5,1125.0,147.0,863.75,111.0,2004-03-20 22:00:00,22,20,3,5,1,-0.5000000000000004,0.8660254037844384,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17,58,default
2.1,937.0,8.940462338273536,1309.0,1035.5,122.0,904.75,97.0,2004-03-20 23:00:00,23,20,3,5,1,-0.25881904510252157,0.9659258262890681,-0.7907757369376986,-0.6121059825476627,1.0,6.123233995736766e-17,59,default
2.8,999.0,10.577635806722439,1455.5,1202.25,175.0,835.0,107.0,2004-03-21 00:00:00,0,21,3,6,1,0.0,1.0,-0.8978045395707417,-0.44039415155763423,1.0,6.123233995736766e-17,60,default
2.1,872.0,7.351704652120824,1299.5,1054.25,133.0,940.5,90.0,2004-03-21 01:00:00,1,21,3,6,1,0.25881904510252074,0.9659258262890683,-0.8978045395707417,-0.44039415155763423,1.0,6.123233995736766e-17,61,default
1.6,823.0,6.242660502363154,1202.5,903.0,89.0,1003.75,84.0,2004-03-21 02:00:00,2,21,3,6,1,0.49999999999999994,0.8660254037844387,-0.8978045395707417,-0.44039415155763423,1.0,6.123233995736766e-17,62,default
1.6,836.0,6.529351622974581,1194.75,884.5,179.8,987.0,109.0,2004-03-21 03:00:00,3,21,3,6,1,0.7071067811865476,0.7071067811865476,-0.8978045395707417,-0.44039415155763423,1.0,6.123233995736766e-17,63,default
1.8,802.0,5.79119163455987,1116.75,817.75,85.0,1028.5,87.0,2004-03-21 04:00:00,4,21,3,6,1,0.8660254037844386,0.5000000000000001,-0.8978045395707417,-0.44039415155763423,1.0,6.123233995736766e-17,64,default
1.1,710.5,3.9959242929204266,1061.75,700.0,55.0,1135.75,66.0,2004-03-21 05:00:00,5,21,3,6,1,0.9659258262890683,0.25881904510252074,-0.8978045395707417,-0.44039415155763423,1.0,6.123233995736766e-17,65,default
0.7,593.66666666667,2.1303704321580987,947.0,580.33333333333,24.0,1300.0,36.0,2004-03-21 06:00:00,6,21,3,6,1,1.0,6.123233995736766e-17,-0.8978045395707417,-0.44039415155763423,1.0,6.123233995736766e-17,66,default
0.8,687.25,3.585512193579881,1065.0,814.5,72.0,1142.5,62.0,2004-03-21 07:00:00,7,21,3,6,1,0.9659258262890683,-0.25881904510252063,-0.8978045395707417,-0.44039415155763423,1.0,6.123233995736766e-17,67,default
1.2,734.0,4.429862930483551,1154.5,1035.0,122.0,1061.75,91.0,2004-03-21 08:00:00,8,21,3,6,1,0.8660254037844387,-0.4999999999999998,-0.8978045395707417,-0.44039415155763423,1.0,6.123233995736766e-17,68,default
1.4,781.5,5.364484431415103,1220.25,1067.25,111.0,995.75,89.0,2004-03-21 09:00:00,9,21,3,6,1,0.7071067811865476,-0.7071067811865475,-0.8978045395707417,-0.44039415155763423,1.0,6.123233995736766e-17,69,default
1.7,861.75,7.113334197638295,1300.75,1114.0,123.0,913.5,93.0,2004-03-21 10:00:00,10,21,3,6,1,0.49999999999999994,-0.8660254037844387,-0.8978045395707417,-0.44039415155763423,1.0,6.123233995736766e-17,70,default
1.8,869.75,7.299092625761445,1279.25,1000.0,106.0,911.25,81.0,2004-03-21 11:00:00,11,21,3,6,1,0.258819045102521,-0.9659258262890682,-0.8978045395707417,-0.44039415155763423,1.0,6.123233995736766e-17,71,default
1.8,882.75,7.60529263256302,1267.0,905.75,103.0,952.75,82.0,2004-03-21 12:00:00,12,21,3,6,1,1.2246467991473532e-16,-1.0,-0.8978045395707417,-0.44039415155763423,1.0,6.123233995736766e-17,72,default
1.9,847.75,6.7931834786399685,1238.75,822.25,102.0,980.5,80.0,2004-03-21 13:00:00,13,21,3,6,1,-0.2588190451025208,-0.9659258262890683,-0.8978045395707417,-0.44039415155763423,1.0,6.123233995736766e-17,73,default
1.3,742.25,4.586705930828619,1128.25,610.25,48.0,1143.75,48.0,2004-03-21 14:00:00,14,21,3,6,1,-0.4999999999999997,-0.8660254037844388,-0.8978045395707417,-0.44039415155763423,1.0,6.123233995736766e-17,74,default
1.6,916.25,8.4189190812524,1242.75,656.75,63.0,962.0,61.0,2004-03-21 15:00:00,15,21,3,6,1,-0.7071067811865471,-0.7071067811865479,-0.8978045395707417,-0.44039415155763423,1.0,6.123233995736766e-17,75,default
1.9,853.0,6.912503239863427,1208.0,646.75,98.0,1059.75,89.0,2004-03-21 16:00:00,16,21,3,6,1,-0.8660254037844385,-0.5000000000000004,-0.8978045395707417,-0.44039415155763423,1.0,6.123233995736766e-17,76,default
2.3,937.5,8.953194276149835,1306.25,762.0,132.0,960.75,105.0,2004-03-21 17:00:00,17,21,3,6,1,-0.9659258262890683,-0.25881904510252063,-0.8978045395707417,-0.44039415155763423,1.0,6.123233995736766e-17,77,default
3.8,1151.0,15.076486896579212,1545.5,1122.0,173.0,769.25,116.0,2004-03-21 18:00:00,18,21,3,6,1,-1.0,-1.8369701987210297e-16,-0.8978045395707417,-0.44039415155763423,1.0,6.123233995736766e-17,78,default
3.5,1070.5,12.609399984135923,1501.0,1130.25,185.0,823.0,119.0,2004-03-21 19:00:00,19,21,3,6,1,-0.9659258262890684,0.2588190451025203,-0.8978045395707417,-0.44039415155763423,1.0,6.123233995736766e-17,79,default
4.3,1153.0,15.140161198407567,1604.75,1636.75,266.0,769.25,144.0,2004-03-21 20:00:00,20,21,3,6,1,-0.8660254037844386,0.5000000000000001,-0.8978045395707417,-0.44039415155763423,1.0,6.123233995736766e-17,80,default
2.8,973.5,9.890092509311117,1315.5,1272.25,188.0,883.25,123.0,2004-03-21 21:00:00,21,21,3,6,1,-0.7071067811865477,0.7071067811865474,-0.8978045395707417,-0.44039415155763423,1.0,6.123233995736766e-17,81,default
1.9,898.25,7.977364527024395,1195.0,1098.0,122.0,933.25,105.0,2004-03-21 22:00:00,22,21,3,6,1,-0.5000000000000004,0.8660254037844384,-0.8978045395707417,-0.44039415155763423,1.0,6.123233995736766e-17,82,default
1.9,896.25,7.928929906349982,1211.0,1066.25,112.0,920.25,93.0,2004-03-21 23:00:00,23,21,3,6,1,-0.25881904510252157,0.9659258262890681,-0.8978045395707417,-0.44039415155763423,1.0,6.123233995736766e-17,83,default
1.7,815.25,6.07436581400729,1161.25,909.0,93.0,995.25,86.0,2004-03-22 00:00:00,0,22,3,0,0,0.0,1.0,-0.9680771188662041,-0.2506525322587213,1.0,6.123233995736766e-17,84,default
1.5,767.0,5.0711119746790105,1095.25,818.25,74.0,1050.25,76.0,2004-03-22 01:00:00,1,22,3,0,0,0.25881904510252074,0.9659258262890683,-0.9680771188662041,-0.2506525322587213,1.0,6.123233995736766e-17,85,default
1.2,768.25,5.0961253478844695,1090.25,699.0,86.0,1072.0,76.0,2004-03-22 07:00:00,7,22,3,0,0,0.9659258262890683,-0.25881904510252063,-0.9680771188662041,-0.2506525322587213,1.0,6.123233995736766e-17,86,default
3.6,1230.25,17.68644401102917,1514.25,1252.25,226.0,732.0,116.0,2004-03-22 08:00:00,8,22,3,0,0,0.8660254037844387,-0.4999999999999998,-0.9680771188662041,-0.2506525322587213,1.0,6.123233995736766e-17,87,default
3.7,1251.75,18.424945508834465,1378.75,1236.75,214.0,711.0,115.0,2004-03-22 09:00:00,9,22,3,0,0,0.7071067811865476,-0.7071067811865475,-0.9680771188662041,-0.2506525322587213,1.0,6.123233995736766e-17,88,default
1.8,854.25,6.941043175885108,1074.25,772.0,115.0,1031.75,83.0,2004-03-22 10:00:00,10,22,3,0,0,0.49999999999999994,-0.8660254037844387,-0.9680771188662041,-0.2506525322587213,1.0,6.123233995736766e-17,89,default
1.6,867.75,7.25246168751516,1089.75,765.75,124.0,1025.75,87.0,2004-03-22 11:00:00,11,22,3,0,0,0.258819045102521,-0.9659258262890682,-0.9680771188662041,-0.2506525322587213,1.0,6.123233995736766e-17,90,default
1.9,964.25,9.645572227732076,1109.5,828.75,122.0,947.25,90.0,2004-03-22 12:00:00,12,22,3,0,0,1.2246467991473532e-16,-1.0,-0.9680771188662041,-0.2506525322587213,1.0,6.123233995736766e-17,91,default
2.0,994.25,10.44807267453735,1101.75,783.0,107.0,954.75,87.0,2004-03-22 13:00:00,13,22,3,0,0,-0.2588190451025208,-0.9659258262890683,-0.9680771188662041,-0.2506525322587213,1.0,6.123233995736766e-17,92,default
2.2,1020.5,11.172567986822713,1099.5,822.0,133.0,951.75,99.0,2004-03-22 14:00:00,14,22,3,0,0,-0.4999999999999997,-0.8660254037844388,-0.9680771188662041,-0.2506525322587213,1.0,6.123233995736766e-17,93,default
2.1,1002.5,10.673538660162198,1093.75,813.0,130.0,965.0,99.0,2004-03-22 15:00:00,15,22,3,0,0,-0.7071067811865471,-0.7071067811865479,-0.9680771188662041,-0.2506525322587213,1.0,6.123233995736766e-17,94,default
1.9,882.5,7.599353631659464,1046.25,765.0,113.0,1051.25,101.0,2004-03-27 15:00:00,15,27,3,5,1,-0.7071067811865471,-0.7071067811865479,-0.72479278722912,0.6889669190756865,1.0,6.123233995736766e-17,95,default
1.8,1023.0,11.242645342095422,1418.25,1410.0,179.8,785.25,109.0,2004-04-03 10:00:00,10,3,4,5,1,0.49999999999999994,-0.8660254037844387,0.5712682150947923,0.8207634412072763,0.8660254037844387,-0.4999999999999998,96,default
1.8,1030.0,11.439854734855004,1410.0,1372.0,179.8,781.0,109.0,2004-04-03 11:00:00,11,3,4,5,1,0.258819045102521,-0.9659258262890682,0.5712682150947923,0.8207634412072763,0.8660254037844387,-0.4999999999999998,97,default
1.8,1096.25,13.378099027683405,1437.5,1266.25,179.8,781.0,109.0,2004-04-03 12:00:00,12,3,4,5,1,1.2246467991473532e-16,-1.0,0.5712682150947923,0.8207634412072763,0.8660254037844387,-0.4999999999999998,98,default
1.8,999.5,10.591313617363797,1278.25,1013.75,179.8,866.25,109.0,2004-04-03 13:00:00,13,3,4,5,1,-0.2588190451025208,-0.9659258262890683,0.5712682150947923,0.8207634412072763,0.8660254037844387,-0.4999999999999998,99,default
1.8,1006.25,10.776700938510382,1256.5,869.5,179.8,914.75,109.0,2004-04-03 14:00:00,14,3,4,5,1,-0.4999999999999997,-0.8660254037844388,0.5712682150947923,0.8207634412072763,0.8660254037844387,-0.4999999999999998,100,default
1.8,1046.0,11.896096062617145,1331.0,904.5,179.8,882.25,109.0,2004-04-03 15:00:00,15,3,4,5,1,-0.7071067811865471,-0.7071067811865479,0.5712682150947923,0.8207634412072763,0.8660254037844387,-0.4999999999999998,101,default
1.8,1101.5,13.537199103668305,1361.25,991.25,179.8,834.0,109.0,2004-04-03 16:00:00,16,3,4,5,1,-0.8660254037844385,-0.5000000000000004,0.5712682150947923,0.8207634412072763,0.8660254037844387,-0.4999999999999998,102,default
1.8,1155.75,15.227900098086305,1397.75,1075.5,179.8,812.25,109.0,2004-04-03 17:00:00,17,3,4,5,1,-0.9659258262890683,-0.25881904510252063,0.5712682150947923,0.8207634412072763,0.8660254037844387,-0.4999999999999998,103,default
1.8,1212.75,17.094871128341516,1483.25,1249.0,179.8,764.0,109.0,2004-04-03 18:00:00,18,3,4,5,1,-1.0,-1.8369701987210297e-16,0.5712682150947923,0.8207634412072763,0.8660254037844387,-0.4999999999999998,104,default
1.8,1124.25,14.235873413022327,1459.0,1299.5,179.8,736.25,109.0,2004-04-03 20:00:00,20,3,4,5,1,-0.8660254037844386,0.5000000000000001,0.5712682150947923,0.8207634412072763,0.8660254037844387,-0.4999999999999998,105,default
1.8,918.0,8.462388030837701,1268.0,1028.75,179.8,873.0,109.0,2004-04-03 21:00:00,21,3,4,5,1,-0.7071067811865477,0.7071067811865474,0.5712682150947923,0.8207634412072763,0.8660254037844387,-0.4999999999999998,106,default
1.8,1127.5,14.336905671238044,1469.25,1207.0,179.8,761.75,109.0,2004-04-03 22:00:00,22,3,4,5,1,-0.5000000000000004,0.8660254037844384,0.5712682150947923,0.8207634412072763,0.8660254037844387,-0.4999999999999998,107,default
1.8,952.0,9.325773709573658,1315.5,1046.75,179.8,847.0,109.0,2004-04-03 23:00:00,23,3,4,5,1,-0.25881904510252157,0.9659258262890681,0.5712682150947923,0.8207634412072763,0.8660254037844387,-0.4999999999999998,108,default
1.8,891.5,7.81440211126495,1224.25,923.25,179.8,884.0,109.0,2004-04-04 00:00:00,0,4,4,6,1,0.0,1.0,0.72479278722912,0.6889669190756866,0.8660254037844387,-0.4999999999999998,109,default
1.8,843.0,6.685991648003947,1215.25,861.5,179.8,928.5,109.0,2004-04-04 01:00:00,1,4,4,6,1,0.25881904510252074,0.9659258262890683,0.72479278722912,0.6889669190756866,0.8660254037844387,-0.4999999999999998,110,default
1.8,781.5,5.364484431415103,1114.5,752.0,179.8,979.75,109.0,2004-04-04 02:00:00,2,4,4,6,1,0.49999999999999994,0.8660254037844387,0.72479278722912,0.6889669190756866,0.8660254037844387,-0.4999999999999998,111,default
1.8,792.5,5.591718611940298,1123.5,790.5,179.8,965.0,109.0,2004-04-04 03:00:00,3,4,4,6,1,0.7071067811865476,0.7071067811865476,0.72479278722912,0.6889669190756866,0.8660254037844387,-0.4999999999999998,112,default
1.8,682.25,3.49973785390122,1027.5,697.25,179.8,1089.5,109.0,2004-04-04 04:00:00,4,4,4,6,1,0.8660254037844386,0.5000000000000001,0.72479278722912,0.6889669190756866,0.8660254037844387,-0.4999999999999998,113,default
1.8,650.0,2.9679480940224017,1009.5,664.0,179.8,1171.25,109.0,2004-04-04 05:00:00,5,4,4,6,1,0.9659258262890683,0.25881904510252074,0.72479278722912,0.6889669190756866,0.8660254037844387,-0.4999999999999998,114,default
